user1,pass1,user1,user1@gmail.com,WS,A
user2,pass2,user2,user2@gmail.com,EG,B
user3,pass3,user3,user2@gmail.com,MIPI,C
user4,pass4,user4,user2@gmail.com,EG,A
user5,pass5,user5,user2@gmail.com,EG,B
user6,pass6,user6,user2@gmail.com,WS,A
user7,pass7,user7,user2@gmail.com,MIPI,B
user8,pass8,user8,user2@gmail.com,WS,C
user9,pass9,user9,user2@gmail.com,EG,A
user10,pass10,user10,user2@gmail.com,MIPI,A
user11,pass11,user11,user2@gmail.com,EG,B
user12,pass12,user12,user2@gmail.com,EG,C
user13,pass13,user13,user2@gmail.com,WS,C
user14,pass14,user14,user2@gmail.com,MIPI,D
user15,pass15,user15,user2@gmail.com,WS,A
user16,pass16,user16,user2@gmail.com,EG,A
user17,pass17,user17,user2@gmail.com,MIPI,C
user18,pass18,user18,user2@gmail.com,EG,A
user19,pass19,user19,user2@gmail.com,EG,B
user20,pass20,user20,user2@gmail.com,WS,C
user21,pass21,user21,user2@gmail.com,MIPI,A
user22,pass22,user22,user2@gmail.com,WS,B
user23,pass23,user23,user2@gmail.com,EG,A
user24,pass24,user24,user2@gmail.com,MIPI,B
user25,pass25,user25,user2@gmail.com,EG,C
user26,pass26,user26,user2@gmail.com,EG,A
user27,pass27,user27,user2@gmail.com,WS,A
user28,pass28,user28,user2@gmail.com,MIPI,A
user29,pass29,user29,user2@gmail.com,WS,B
user30,pass30,user30,user2@gmail.com,EG,C
user31,pass31,user31,user2@gmail.com,MIPI,A
user32,pass32,user32,user2@gmail.com,EG,B
user33,pass33,user33,user2@gmail.com,EG,A
user34,pass34,user34,user2@gmail.com,WS,B
user35,pass35,user35,user2@gmail.com,MIPI,C
user36,pass36,user36,user2@gmail.com,WS,A
user37,pass37,user37,user2@gmail.com,EG,A
user38,pass38,user38,user2@gmail.com,MIPI,B
user39,pass39,user39,user2@gmail.com,EG,C
user40,pass40,user40,user2@gmail.com,EG,C
user41,pass41,user41,user2@gmail.com,WS,D
user42,pass42,user42,user2@gmail.com,MIPI,A
user43,pass43,user43,user2@gmail.com,WS,A
user44,pass44,user44,user2@gmail.com,EG,C
user45,pass45,user45,user2@gmail.com,MIPI,A
user46,pass46,user46,user2@gmail.com,EG,B
user47,pass47,user47,user2@gmail.com,EG,C
user48,pass48,user48,user2@gmail.com,WS,A
user49,pass49,user49,user2@gmail.com,MIPI,B
user50,pass50,user50,user2@gmail.com,WS,A
user51,pass51,user51,user2@gmail.com,EG,B
user52,pass52,user52,user2@gmail.com,MIPI,C
user53,pass53,user53,user2@gmail.com,EG,A
user54,pass54,user54,user2@gmail.com,EG,A
user55,pass55,user55,user2@gmail.com,WS,A
user56,pass56,user56,user2@gmail.com,MIPI,B
user57,pass57,user57,user2@gmail.com,WS,C
user58,pass58,user58,user2@gmail.com,EG,A
user59,pass59,user59,user2@gmail.com,MIPI,B
user60,pass60,user60,user2@gmail.com,EG,A
user61,pass61,user61,user2@gmail.com,EG,B
user62,pass62,user62,user2@gmail.com,WS,C
user63,pass63,user63,user2@gmail.com,MIPI,A
user64,pass64,user64,user2@gmail.com,WS,A
user65,pass65,user65,user2@gmail.com,EG,B
user66,pass66,user66,user2@gmail.com,MIPI,C
user67,pass67,user67,user2@gmail.com,EG,C
user68,pass68,user68,user2@gmail.com,EG,D
user69,pass69,user69,user2@gmail.com,WS,A
user70,pass70,user70,user2@gmail.com,MIPI,A
user71,pass71,user71,user2@gmail.com,WS,C
user72,pass72,user72,user2@gmail.com,EG,A
user73,pass73,user73,user2@gmail.com,MIPI,B
user74,pass74,user74,user2@gmail.com,EG,C
user75,pass75,user75,user2@gmail.com,EG,A
user76,pass76,user76,user2@gmail.com,WS,B
user77,pass77,user77,user2@gmail.com,MIPI,A
user78,pass78,user78,user2@gmail.com,WS,B
user79,pass79,user79,user2@gmail.com,EG,C
user80,pass80,user80,user2@gmail.com,MIPI,A
user81,pass81,user81,user2@gmail.com,EG,A
user82,pass82,user82,user2@gmail.com,EG,A
user83,pass83,user83,user2@gmail.com,WS,B
user84,pass84,user84,user2@gmail.com,MIPI,C
user85,pass85,user85,user2@gmail.com,WS,A
user86,pass86,user86,user2@gmail.com,EG,B
user87,pass87,user87,user2@gmail.com,MIPI,A
user88,pass88,user88,user2@gmail.com,EG,B
user89,pass89,user89,user2@gmail.com,EG,C
user90,pass90,user90,user2@gmail.com,WS,A
user91,pass91,user91,user2@gmail.com,MIPI,A
user92,pass92,user92,user2@gmail.com,WS,B
user93,pass93,user93,user2@gmail.com,EG,C
user94,pass94,user94,user2@gmail.com,MIPI,C
user95,pass95,user95,user2@gmail.com,EG,D
user96,pass96,user96,user2@gmail.com,EG,A
user97,pass97,user97,user2@gmail.com,WS,A
user98,pass98,user98,user2@gmail.com,MIPI,C
user99,pass99,user99,user2@gmail.com,WS,A
user100,pass100,user100,user2@gmail.com,EG,B
